# roll pitch yaw tx ty tz
-0.032268 -0.620302 -0.299759 -0.076378 -0.086054 0.342928
-0.038911 -0.619036 -0.293816 -0.075930 -0.087203 0.343156
-0.046200 -0.617667 -0.287422 -0.075264 -0.088329 0.343331
-0.052602 -0.615793 -0.281460 -0.074376 -0.089209 0.343540
-0.059798 -0.613901 -0.275204 -0.073764 -0.090119 0.343934
-0.067246 -0.611757 -0.268580 -0.073305 -0.091096 0.344549
-0.073801 -0.610498 -0.262302 -0.073032 -0.092121 0.345616
-0.079292 -0.608373 -0.256601 -0.072684 -0.092957 0.347191
-0.086195 -0.607147 -0.250024 -0.072142 -0.093696 0.348774
-0.092471 -0.605417 -0.243852 -0.071705 -0.094432 0.350458
-0.097343 -0.603557 -0.238191 -0.071144 -0.094949 0.352443
-0.103273 -0.602353 -0.231852 -0.070389 -0.095354 0.354384
-0.108954 -0.601029 -0.225538 -0.069438 -0.095729 0.356261
-0.115131 -0.600044 -0.218801 -0.068437 -0.096182 0.357918
-0.120902 -0.598270 -0.212536 -0.067472 -0.096515 0.359292
-0.126856 -0.597260 -0.205795 -0.066610 -0.096969 0.360090
-0.132510 -0.596458 -0.199212 -0.065958 -0.097514 0.360598
-0.137822 -0.594784 -0.192833 -0.065309 -0.098045 0.361323
-0.143753 -0.593894 -0.185988 -0.064802 -0.098765 0.362106
-0.147801 -0.592192 -0.180155 -0.064236 -0.099560 0.363221
-0.152843 -0.590791 -0.173732 -0.063764 -0.100329 0.364560
-0.157375 -0.589559 -0.167544 -0.063412 -0.101276 0.365795
-0.161639 -0.587873 -0.161404 -0.063109 -0.102117 0.367206
-0.166033 -0.586674 -0.155053 -0.062730 -0.103000 0.368282
-0.170037 -0.584779 -0.149067 -0.062452 -0.103943 0.369491
-0.173745 -0.583135 -0.143297 -0.062272 -0.104729 0.370725
-0.177632 -0.581710 -0.137013 -0.061924 -0.105542 0.371837
-0.180787 -0.580036 -0.131252 -0.061605 -0.106474 0.373198
-0.184327 -0.578379 -0.125296 -0.061143 -0.107430 0.374563
-0.187922 -0.576763 -0.119293 -0.060575 -0.108313 0.375966
-0.190958 -0.574980 -0.113604 -0.060000 -0.109044 0.377371
-0.193978 -0.573057 -0.107801 -0.059341 -0.109710 0.378631
-0.196421 -0.571206 -0.102365 -0.058817 -0.110292 0.379652
-0.199680 -0.569705 -0.096310 -0.058258 -0.110867 0.380315
-0.201787 -0.567555 -0.091091 -0.057770 -0.111496 0.380826
-0.203807 -0.565870 -0.085736 -0.057189 -0.111969 0.381496
